Material,Thickness (mm),Precut dimensions (diameter/ side length) mm,Precut Shape (circle/ square/etc),Total Strain/ Elongation (%),UTS (MPa),YS (MPa),Strength Coefficient (k in MPa),Strain hardening coefficient (n),Anisotropic (R Value),Is lubricant used?,Feed rate (mm/min),Tool speed (rpm),Step depth(mm),No of stages,HER,Flange Height (mm),Roughness (µm),"Minimum thickness (after final stage, mm)","Final angle after the final stage, degrees"
7075-O aluminium alloy,1.6,64.5,Circle,17,214,109.5,400,0.17,0.85,1,1000,0,0.2,1,1.46,23.6,,0.608,90
7075-O aluminium alloy,1.6,64.5,Circle,17,214,109.5,400,0.17,0.85,1,1000,1000,0.2,1,1.46,22.3,,0.752,90
7075-O aluminium alloy,1.6,61,Circle,17,214,109.5,400,0.17,0.85,1,1000,0,0.2,1,1.55,24.8,,,90
7075-O aluminium alloy,1.6,60,Circle,17,214,109.5,400,0.17,0.85,1,1000,1000,0.2,1,1.58,26.4,,,90
7075-O aluminium alloy,1.6,57.5,Circle,17,214,109.5,400,0.17,0.85,1,1000,0,0.2,1,1.65,26.8,,,90
7075-O aluminium alloy,1.6,57,Circle,17,214,109.5,400,0.17,0.85,1,1000,1000,0.2,1,1.66,26.6,,,90
7075-O aluminium alloy,1.6,65,Circle,17,214,109.5,400,0.17,0.85,1,1000,0,0.2,1,1.45,22,0.34,,90
7075-O aluminium alloy,1.6,66,Circle,17,214,109.5,400,0.17,0.85,1,1000,1000,0.2,1,1.45,21.4,0.17,,90
1060 aluminum sheet,1,35.5,Circle,13,151,148,180,0.2,0.65,0,2400,,0.5,5,2.851,23.25,,,90
AA5052 sheet,1,40,Circle,15,228,193,410,0.13,0.7,1,2000,,0.1,,1.5,16,,0.58,90
AA5052 sheet,1,40,Circle,15,228,193,410,0.13,0.7,1,2000,,0.1,1,2.15,12,,0.8,90
aluminum alloy (AA1060),1,20,Circle,20,110,95,170,0.2,0.65,0,,,,1,5.5,,,,83
Aluminium AA1050-H111,1,121,Circle        ,10,120.9,119.9,140,0.04,0.84,0,"1,000",,0.2,6,,,,,90
aluminum AA1050-H111,1,52,Circle        ,10,120.9,119.9,140,0.04,0.84,1,"1,000",,0.2,1,,,,,
AA7075-0 Aluminium alloy,1,102,Circle        ,10,120.9,119.9,140,0.04,0.84,1,"1,000",,0.2,6,,,,,70
Aluminium AA1050-H111,1,120,Circle        ,10,120.9,119.9,140,0.04,0.84,1,"1,000",,0.2,6,1.33,,,,90
Aluminium AA1050-H111,1,140,Square ,6.8,120.5,119.9,140,0.04,0.84,1,1000,,0.2,6,,,,0.39,90
Aluminium AA1050-H111,1,121,Circle,6.8,120.5,119.9,140,0.04,0.84,1,1000,,0.2,6,,,,0.29,90
AA7075-0 Aluminium alloy,1.6,57,Circle,17,214,109.5,400,0.17,0.85,1,1000,1000,0.2,1,1.66,26.6,0.17,0.66,90
Aluminium AA1050-H111,1,111,Circle,10,120.9,119.9,140,0.04,0.84,1,1000,,0.2,6,,,,0.27,90
Titanium (grade 2),0.7,134,Circle,30.9,345,303.5,600,0.15,3.5,1,1000,,0.2,9,,,,0.44,90
EN AW-6181-T1 Aluminium alloy,0.8,20,Circle,24,353.8,165,506.2,0.23,0.65,1,4000,2000,0.5,4,2,9.95,,,90
AA7075-O Aluminium alloy,1.6,64.5,Circle,17,214,109.7,314,0.13,0.85,1,1000,,0.2,2,,24,,1.1,90
Al 6061,1,35.05,Circle,11.8,310,188,410,0.12,0.6,0,,,1,1,,10,,0.84,90
SUS 304,0.3,35.05,Circle,57,505,236,1275,0.45,1,0,,,1,1,,10,,,90
AA6061-T6,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.3,,,,90
AA6061-T6,1,44,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,5,1.36,,,,90
AA7075-O,1.6,64.5,Circle,17,228,109.7,314,0.13,0.85,1,1000,0,0.2,2,1.49,,,1.1,90
Sheet Steel,0.6,31.11,Circle,35,163.74,575.7,0.225,1.97,1.6,1,60,,,1,1.46,16.3,,0.38,90
Aluminium AA1050-H111,1,140,Square,6.8,120.5,119.9,140,0.04,0.84,1,1000,,0.2,6,,,,0.39,90
AA1060,1,55,Circle,20,112,56,168,0.134,0.7,1,400,600,0.05,1,,,,0.39,75
DC01,1,55,Circle,28,315,179,610,0.25,1.6,1,400,600,0.05,1,,,,0.47,75
AA5052,1,40,Circle,15,228,193,410,0.13,0.7,1,2000,,0.1,1,1.5,16,,0.58,90
AA5052,1,40,Circle,15,228,193,410,0.13,0.7,1,2000,,,1,2.15,12,,0.8,90
EN AW-6181-T1,0.8,20,Circle,24,353.8,165,506.2,0.23,0.65,1,4000,2000,0.5,4,2,9.95,,,90
Aluminium AA1050-H111,1,121,Circle,10,120.9,119.9,140,0.04,0.84,1,1000,,0.2,6,1.21,,,0.41,90
Titanium (grade 2),0.7,134,Circle,30.9,345,303.5,600,0.15,3.5,1,1000,,0.2,9,1.09,,,0.56,90
Aluminium AA1050-H111,1,111,Circle,10,120.9,119.9,140,0.04,0.84,1,1000,,0.2,6,1.315,,,0.415,90
Titanium (grade 2),0.7,134,Circle,30.9,345,303.5,600,0.15,3.5,1,1000,,0.2,9,1.09,,,0.556,90
AA5052,1,40,Circle,15,228,193,410,0.13,0.7,1,2000,,0.1,1,1.5,16,,0.58,90
AA5052,1,40,Circle,15,228,193,410,0.13,0.7,1,2000,,,1,2.15,12,,0.8,90
AA1060,1,55,Circle,20,112,56,168,0.134,0.65,1,400,600,0.05,1,,,,0.394,75
DC01,1,55,Circle,28,315,179,610,0.25,1.6,1,400,600,0.05,1,,,,0.469,75
EN AW-6181-T1,0.8,12.1,Circle,24,353.8,165,506.2,0.23,0.65,1,1000,6000,,1,3.3,16.1,,0.288,90
EN AW-6181-T1,0.8,20,Circle,24,353.8,165,506.2,0.23,0.65,1,4000,2000,0.5,4,2,9.95,,,90
EN AW-6181-T1,0.8,27,Circle,24,353.8,165,506.2,0.23,0.65,1,500,,,1,1.48,8.3,,,90
DC05 steel,1.2,14,Circle,41,300,160,500,0.23,1.9,1,6000,80,1,1,5.7,28,,0.45,90
AA7075-O,1.6,65,Circle,17,228,109.7,255,0.1135,0.851,1,1000,1000,0.2,1,1.44,18,,,90
304 stainless steel,0.5,4.5,Circle,15,550,205,1275,0.193,1,0,,,1,3,2.22,4.58,,0.345,90
AA7075-O,1.6,64.5,Circle,17,228,109.7,314,0.13,,1, 1000 mm/min,1000 rpm clockwise,0.2,2,0.485,,,1.2 mm,
AA1060,1,80,Circle,19,460,324,149,0.2,0.65,0,70 mm/min,,1,4,, 35 mm,,,90° 
AA5052-H32,1.5,47,Square,14.6,271.8,197.38,410,0.13,0.7,1, 1000 mm/min,1000 rpm,0.2,1,1.2,,0.269 µm,1.305 mm ,90° 
AA5052,1.5,45,Square,14.6,271.8,197.38,410,0.13,0.7,1, 1000 mm/min,0 rpm,0.2,1,1.26,,0.215 µm ,1.305 mm ,90° 
AA5052,1.5,44,Square,14.6,271.8,197.38,410,0.13,0.7,1, 1000 mm/min,0 rpm,0.2,1,1.35,,0.215 µm ,1.305 mm ,90° 
AA1050-H111,1,50,Circle,2.55,115,81.9,132.95,0.07,0.84,0,,,0.5 mm/cycle ,1,1.56,13.43,,0.84, 78.77°
AA1050-H111,1,140,Square,6.8,120.5,119.9,140,0.04,0.84,1,1000,,0.2,6,0.214,,,0.39,90° 
DDQ steel,1,35.4,Circle,11.8,320,188,520,0.2,1.18,0,,,1,,,10,,,
DDQ steel,1,45,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,,,,0.34,80
DDQ steel,1,50,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,2.06,50,,0.38,90
DDQ steel,1,60,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,1.73,34,0.65,0.54,90
DDQ steel,1,70,Circle,30.75,327.2,206,519,0.176,1.18,1,,250,0.5,4,1.51,22,,0.72,90
DDQ steel,0.3,35.4,Circle,57,320,236,520,0.2,1.18,0,,,1,,,10,,,
 AA1060,1,55,Circle,20,112,56,168,0.134,0.65,1,800,600,0.1,1,1.38,31,,,75
DC01 ,1,55,Circle,28,315,179,610,0.25,1.6,1,800,600,0.1,1,1.38,31,,,75
DC05 steel,1.2,14.04,Circle,41,300,160,500,0.23,1.9,1,6000,80,1,1,5.7,28,,0.45,
2205 DualPhase Steel,2,30,Circle,25,521,218,800,0.15,0.9,1,,75,0.5,1,1.67,13.75,,1.33,90
AA7075-O (SPIF Single-Stage),1.6,61,Circle,16,214,109.5,400,0.17,0.85,0,1000,0,0.2,1,1.55,0.416,,0.8,
AA7075-O (SPIF Single-Stage),1.6,65,Circle,16,214,109.5,400,0.17,0.85,0,,,0.2,1,1.47,,,,
AA7075-O (SPIF Single-Stage),1.6,58,Circle,16,214,109.5,400,0.17,0.85,0,,,0.2,1,1.65,,,,
Al 1050A,1,20,Circle,35,105,90,140,0.2,0.6,0,400,50,2,1,1.9,7.43,,,
Al 1050A,1,20,Circle,35,105,90,140,0.2,0.6,0,700,50,2,1,1.9,7.43,,,
Copper,1,22,Circle,45,220,69,350,0.45,0.9,0,100,100,0.5,1,1.5,,,,
Copper,1,22,Circle,45,220,69,350,0.45,0.9,0,200,300,1,1,1.5,,,,
AA7075-O,1.6,58,Circle,17,214,109.5,300,0.12,0.85,1,1000,0,0.2,1,1.62,27,,,
AA6061-T6,1,43,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.39,,0.82,,90
AA6061-T7,1,46,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.3,,0.86,,90
AA6061-T8,1,44,Circle,11.7,356.47,302.45,461.7,0.12,0.77,1,1000,0,0.5,1,1.36,,0.86,,90
"DC01	",0.7,20,Circle,28,416.91,356,610,0.25,1.6,0,,350,,1,,12.5,100,0.455,72
"DC01	",1,20,Circle,28,485.07,427,610,0.25,1.6,0,,525,,1,,15.2,100,0.6,90
AA1050,0.7,20,Circle,30,156.42,25,140,0.2,0.6,0,,350,,1,,13.5,100,0.427,45
AA1050,1,20,Circle,30,180,50,140,0.2,0.6,0,,170,,1,,16.5,100,0.49,72
AA7075-0,1.6,58,Circle,16,228,103,400,0.17,0.85,1,1000,,0.2,1,1.65,,,,
AA7075-1,1.6,55,Circle,16,228,103,400,0.17,0.85,1,1000,,0.2,1,1.72,,,,
